Infrastructure Type,Infrastructure Name,Road Location,Two Way Travel,Length,ID,Location
Multiuse path,Awasisak Meskanow Greenway,Off Road,true,33,W219908,"MULTILINESTRING ((-97.1890300218864 49.80815234742317, -97.18905484996954 49.80824220458887, -97.18908879665602 49.80834006484155, -97.18908331891427 49.80844205750655))"
Multiuse path,Near Bison Dr,Off Road,true,6,W213073,"MULTILINESTRING ((-97.19785631572199 49.79433017027544, -97.19781792269099 49.794331594208614, -97.19777972528523 49.7943344762861))"
Multiuse path,Near Bus Rapid Transit,Off Road,true,30,W236,"MULTILINESTRING ((-97.14918041866939 49.853545280791025, -97.14925200153827 49.85355752492021, -97.1492964727401 49.853565173197175, -97.14934013630327 49.85357389883123, -97.14938329864191 49.853583706716215, -97.14942213146335 49.85359850034507, -97.14945582905254 49.853615293388856, -97.14948695429003 49.85363521704677, -97.14953029808328 49.853672383674954))"
Multiuse path,Near Grant Av,Off Road,true,6,W105329,"MULTILINESTRING ((-97.23918020701579 49.85832053890975, -97.23917647374361 49.85837053299945))"
Buffered bike lane,On Pembina Hw,On Road,false,2,W82503,"MULTILINESTRING ((-97.15254199779147 49.84921521003585, -97.1525405047737 49.84923138186206))"
Spur route,Near Beechwood Pl,Off Road,true,224,W99368,"MULTILINESTRING ((-97.1351928800805 49.87522640325348, -97.1328011366854 49.8751483022655, -97.13208212945575 49.87512755880984))"
Spur route,Near Alburg Dr,Off Road,true,46,W101262,"MULTILINESTRING ((-97.11132583509925 49.8128793132162, -97.1119541553261 49.81295853059666))"
Multiuse path,Near Cal Gardner Dr,Off Road,true,5,W213973,"MULTILINESTRING ((-97.04643346580444 49.898896982007926, -97.04642255558174 49.89890963198914, -97.04641175668019 49.89892232176377, -97.04640106944768 49.89893505092309))"
Multiuse path,Near Gateway Rd,Off Road,true,12,W207522,"MULTILINESTRING ((-97.05872998699958 49.94011607406891, -97.05859461945987 49.94018439029204))"
Multiuse path (unpaved),Near McConnell Rd,Off Road,true,504,W220945,"MULTILINESTRING ((-97.223293512997 49.83331974050942, -97.223193721834 49.8331551950052, -97.22324479366078 49.832940753594826, -97.22327713729776 49.832647761551144, -97.22276730545948 49.831938367351256, -97.22272008841146 49.8318118625959, -97.22261447494134 49.83174595485664, -97.22210899709368 49.83115401958425, -97.22204002163456 49.830560394881715, -97.222030138852 49.83047638950419, -97.22195638259399 49.83024885269195, -97.22199873304346 49.83015446827119, -97.22259379337139 49.829598982012996, -97.2230780296692 49.829237452074686))"
Multiuse path,Near St Annes Rd,Off Road,true,4,W21984,"MULTILINESTRING ((-97.1042961036681 49.85538754697052, -97.10423574408676 49.85538283923093))"
Spur route,Near Shadyside Dr,Off Road,true,42,W200267,"MULTILINESTRING ((-96.98059939975036 49.90316644260705, -96.98012292945843 49.903265011173566, -96.9800367150755 49.90327954546721))"
Multiuse path,Near Shaftesbury Bv,Off Road,true,408,W222595,"MULTILINESTRING ((-97.22999148947848 49.864989832420726, -97.22999745145057 49.864926045578905, -97.22999872645569 49.86491240616443, -97.23009334175276 49.86450772833048, -97.23010287107176 49.86442000182933, -97.23010230527143 49.86404021946036, -97.23011584623387 49.86389256124762, -97.23013330976413 49.863740791954086, -97.23015097655593 49.86352954010764, -97.23016310622795 49.86336032902587, -97.23018154036006 49.86319135632932, -97.23020264074822 49.863097466826744, -97.2302879298272 49.862453689957334, -97.23030170756921 49.86225412792219, -97.23030668346136 49.862054392805156, -97.23029017984514 49.861700791527205, -97.23029411773973 49.86160928085853, -97.23030222857604 49.861517885177456, -97.23031450526786 49.861426683530915, -97.230330937915 49.861335755821955))"
Multiuse path,Near Shaftesbury Bv,Off Road,true,218,W222593,"MULTILINESTRING ((-97.22977909217784 49.866946079368304, -97.22988567616433 49.86650142290591, -97.22989631553526 49.86645267786885, -97.22990490566427 49.86640376391096, -97.22991144103766 49.866354717827846, -97.22993590748317 49.86602020553003, -97.22995386563566 49.865694854154356, -97.229953247314 49.86566182052493, -97.22995445451316 49.86562879318639, -97.22995748565216 49.86559581529046, -97.22996128144975 49.86543600089593, -97.22996181009309 49.86530739777356, -97.22999148947848 49.864989832420726))"
Spur route,Near Empress St,Off Road,true,23,W101010,"MULTILINESTRING ((-97.1953954793687 49.89093427410291, -97.19536580911372 49.89098720303831, -97.19535134753669 49.8910822015994, -97.19534937542042 49.891135072952245))"
Multiuse path,Near Renshaw Bv,Off Road,true,40,W224484,"MULTILINESTRING ((-96.96772931895067 49.88915108556261, -96.96772727854709 49.88909601760432, -96.96784100824522 49.88907188443833, -96.96790954207425 49.88903806443207, -96.96795497805452 49.8890010599568, -96.96798593748123 49.888960466284665, -96.9681021494034 49.888959168189864))"
Multiuse path,Near Renshaw Bv,Off Road,true,4,W224485,"MULTILINESTRING ((-96.96773271555054 49.88924275540675, -96.96773135935705 49.88920615352036))"
Spur route,Near Richardson Av,Off Road,true,35,W200400,"MULTILINESTRING ((-97.14931835967018 49.94285337000297, -97.14909822437893 49.9431381743602))"
Spur route,Near Richardson Av,Off Road,true,69,W58490,"MULTILINESTRING ((-97.15181370876313 49.942424308083446, -97.1513826702577 49.94298019477312))"
Spur route,Near Richardson Av,Off Road,true,5,W58638,"MULTILINESTRING ((-97.15116955438158 49.94309326976471, -97.15120225274045 49.94305094550865))"
Spur route,Near Richardson Av,Off Road,true,5,W119168,"MULTILINESTRING ((-97.1513826702577 49.94298019477312, -97.1513502467023 49.94302200895006))"
Spur route,Near Richardson Av,Off Road,true,64,W55525,"MULTILINESTRING ((-97.15077131556244 49.94360872767852, -97.15116955438158 49.94309326976471))"
Multiuse path,Near Waverley St,Off Road,true,2,W217094,"MULTILINESTRING ((-97.1784122982228 49.8511716851284, -97.17844142931344 49.85118068580793))"
Spur route,Near De Bourmont By,Off Road,true,95,W37559,"MULTILINESTRING ((-97.07948306500512 49.865756855185985, -97.07911286523293 49.8654655893201, -97.07897045766974 49.865433779836046, -97.07838805468946 49.865434076972456))"
Multiuse path,Near Grant Av,Off Road,true,4,W88888,"MULTILINESTRING ((-97.26756581695852 49.8593917324014, -97.26750340822575 49.859389452073756))"
Multiuse path,Near Kenaston Bv,Off Road,true,3,W226715,"MULTILINESTRING ((-97.19887784222894 49.79010559883096, -97.1988448217848 49.790088368475985))"
